"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "JavaScript", "Markdown", "XML", "Ignore", "comment", "blank", "total"
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/app.po.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/commands.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 24, 2, 34
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 15, 2, 18
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/tsconfig.e2e.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/adamspice/projects/spiceydev/apps/ngshop-e2e/tsconfig.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/adamspice/projects/spiceydev/apps/ngshop/.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 37, 0, 40
"/Users/adamspice/projects/spiceydev/apps/ngshop/jest.config.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.spec.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.module.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/footer/footer.component.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/footer/footer.component.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/messages/messages.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/messages/messages.component.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/nav/nav.component.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/nav/nav.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/assets/images/banner-image.svg", "XML", 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 171
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/environments/environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/environments/environment.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 11, 3, 17
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/main.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/polyfills.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 55, 7, 63
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/styles.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/adamspice/projects/spiceydev/apps/ngshop/src/test-setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.app.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.editor.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 8
"/Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
